scenario_id,scenario_name,space,occasion,guests_supported,lead_collections,allowed_collections,role,allowed_product_types,preset_status,quantity_rule,flow_step,styling_message
palace-dinner,Дворцовый ужин,dining_room,dinner|anniversary|new_year,4|6|8|12,Дворцы России,Росы|Овация|Камея,table_base,dinner_plate|snack_plate|dessert_plate|required,required,per_guest,Выберите число гостей,Торжественная белая база для большого стола
palace-dinner,Дворцовый ужин,dining_room,dinner|anniversary|new_year,4|6|8|12,Дворцы России,Дворцы России,table_textile,tablecloth|table_runner|napkin,default,per_guest_or_fixed,Добавьте текстиль,Сдержанный церемониальный текстиль
palace-dinner,Дворцовый ужин,dining_room,dinner|anniversary|new_year,4|6|8|12,Росы,Росы|Овация|Камея,evening_service,wine_glass_set|champagne_glass_set|decanter|serving_dish|candle_holder,optional,fixed,Дополните вечер,Хрусталь и свет как вечерний акцент
flower-sunday,Цветочное воскресенье,kitchen|veranda,breakfast|brunch|gift,2|4,Голубые цветы,Голубые цветы|Овация|Камея,tea_service,tea_pair|coffee_pair|required,required,per_guest,Выберите число персон,Лёгкий цветочный завтрак
flower-sunday,Цветочное воскресенье,kitchen|veranda,breakfast|brunch|gift,2|4,Голубые цветы,Голубые цветы,table_textile,napkin|placemat|table_runner,default,per_guest_or_fixed,Добавьте текстиль,Светлая цветочная деталь
flower-sunday,Цветочное воскресенье,kitchen|veranda,breakfast|brunch|gift,2|4,Овация,Овация|Камея|Голубые цветы,serving_add_on,dessert_plate|serving_dish|vase|candle,optional,fixed,Дополните стол,Нейтральная база и небольшой декор
russian-living-room,Русская гостиная,living_room,reading|evening|housewarming,1|2,Оренбургские узоры,Оренбургские узоры|Нити времени|Тайна острова Буяна,soft_textile,throw|required,required,fixed,Выберите основу,Тактильный текстиль для вечера дома
russian-living-room,Русская гостиная,living_room,reading|evening|housewarming,1|2,Оренбургские узоры,Оренбургские узоры|Нити времени|Голубые цветы,soft_decor,decorative_pillow,default,fixed,Добавьте подушки,Мягкие опоры и цветовой ритм
russian-living-room,Русская гостиная,living_room,reading|evening|housewarming,1|2,Нити времени,Нити времени|Тайна острова Буяна,atmosphere,candle|vase|candle_holder,optional,fixed,Добавьте атмосферу,Свеча и небольшой предметный акцент
fairytale-for-two,Сказка на двоих,bedroom|tea_corner,romantic_evening|gift|housewarming,2,Тайна острова Буяна,Тайна острова Буяна|Нити времени|Обереги,bedding,bedding_set|required,required,variant_selection_required,Выберите размер белья,Сказочный вечерний текстиль
