scenario_id,scenario_name,space,occasion,total_items,required_items,status
winter-garden-breakfast,Утро в зимнем саду,Стол,Праздничный/утончённый завтрак,8,2,готово к загрузке
earth-breath,Дыхание земли,Стол,Расслабленный обед,30,4,готово к загрузке
northern-dreams-bedroom,Сны о русском севере,Спальня,Уютный отдых,15,3,готово к загрузке
fairy-tea,Сказочное чаепитие,Стол,Подарок или праздник,5,2,готово к загрузке
botanical-garden,Ботанический сад,Стол,Утреннее чаепитие / весенний завтрак,10,3,готово к загрузке
retro-cabinet,Кабинетное ретро,Стол,Рабочее пространство / мужской завтрак,10,3,готово к загрузке
blue-velvet-night,Синий бархат ночи,Спальня,Глубокий релакс,9,3,готово к загрузке
cloud-tenderness,Облачная нежность,Спальня / ванная,"Воздушная белизна, повседневный дом",10,3,готово к загрузке
mokoshi-morning,Утро в стиле Мокоши,Стол,Праздничный завтрак / душевное чаепитие,7,3,готово к загрузке
kokoshnik-gift,Божественный Кокошник,Спальня,"Подарок новоселам, премиальный отдых",5,1,готово к загрузке
forest-fairytale-obereg,Лесная сказка с оберегами,Стол / Гостиная,"Праздничная сервировка, Пасха, семейный обед",6,1,готово к загрузке
