scenario_id,scenario_name,role,preset_status,candidate_rank,is_recommended,offer_id,vendor_code,collection,product_name,product_type,price_rub,old_price_rub,color,size,material,product_url,primary_image_url,all_image_urls,palette,style_tags
red-thread-tea,Красная нить,tea_pair,required,1,True,1328,УТ-00010932,Мокоши,Кофейная пара Мокоши,coffee_pair,2990,,белый,,фарфор,https://kultura-doma.ru/product/kofeynaya-para-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/69441f32012f2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69441f32012f2_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69417a5df2b89_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69441f337c0e5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69417a5fb4604_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69441f34a9ed8_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69417a616ea73_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69417a631da91_big.jpg,milk|red,folk|graphic|ornamental
red-thread-tea,Красная нить,tea_pair,required,2,False,1330,УТ-00010930,Мокоши,Чайная пара Мокоши,tea_pair,4590,,белый,,фарфор,https://kultura-doma.ru/product/chaynaya-para-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/694151510f837_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/694151510f837_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69417699838e2_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6941514ed8ad6_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69415152699f5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6941769cd8ed9_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6941769e5e7bb_big.jpg,milk|red,folk|graphic|ornamental
red-thread-tea,Красная нить,neutral_plate,default,1,True,1562,УТ-00011432,Камея,Тарелка десертная Камея,dessert_plate,1673,2390,белый,"20,8 см",костяной фарфор,https://kultura-doma.ru/product/tarelka-desertnaya-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a73285a37b_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a73285a37b_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69a5772a9dbd2_big.jpg,milk|white,classic|neutral|relief
red-thread-tea,Красная нить,neutral_plate,default,2,False,1563,УТ-00011433,Камея,Тарелка закусочная Камея,snack_plate,2233,3190,белый,"23,5 см",костяной фарфор,https://kultura-doma.ru/product/tarelka-zakusochnaya-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a739923911_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a739923911_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69a576f26a902_big.jpg,milk|white,classic|neutral|relief
red-thread-tea,Красная нить,table_textile,default,1,True,1354,УТ-00010587,Мокоши,Плейсмат Мокоши,placemat,1590,,белый,40х50 см,сатин,https://kultura-doma.ru/product/pleysmat-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/69f219228e2f7_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f219228e2f7_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/694173bbd1f6f_big.jpg,milk|red,folk|graphic|ornamental
red-thread-tea,Красная нить,table_textile,default,2,False,1352,УТ-00010567,Мокоши,Салфетка Мокоши,napkin,1990,,белый,45х45 см,сатин,https://kultura-doma.ru/product/salfetka-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194d979a2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194d979a2_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/694173df49b51_big.jpg,milk|red,folk|graphic|ornamental
red-thread-tea,Красная нить,table_textile,default,3,False,1369,УТ-00010414,Мокоши,Дорожка с кисточками Мокоши,table_runner,14900,,белый,50х180 см,лён,https://kultura-doma.ru/product/dorozhka-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218c75fc49_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218c75fc49_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/694173f643ab4_big.jpg,milk|red,folk|graphic|ornamental
red-thread-tea,Красная нить,serving_add_on,optional,1,True,1554,УТ-00011441,Камея,Молочник Камея,milk_jug,1673,2390,белый,,костяной фарфор,https://kultura-doma.ru/product/molochnik-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394aeea5edf_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394aeea5edf_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a15ad53ba204_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69a5765de48a1_big.jpg,milk|white,classic|neutral|relief
red-thread-tea,Красная нить,serving_add_on,optional,2,False,1561,УТ-00011440,Камея,Сахарница Камея,sugar_bowl,2513,3590,белый,,костяной фарфор,https://kultura-doma.ru/product/saharnica-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394af59a5dc_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394af59a5dc_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a15aede2722f_big.jpg,milk|white,classic|neutral|relief
red-thread-tea,Красная нить,serving_add_on,optional,3,False,1568,УТ-00011439,Камея,Чайник заварочный Камея,teapot,4473,6390,белый,,костяной фарфор,https://kultura-doma.ru/product/chaynik-zavarochnyy-kameya-1568,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394af835e91_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394af835e91_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/699d71e583d98_big.jpg,milk|white,classic|neutral|relief
