scenario_id,scenario_name,domain,default_guests,sort_order,offer_id,group_id,collection,product_name,product_type,preset_status,default_quantity,quantity_rule,variant_selection_required,price_rub,product_url,primary_image_url,selection_reason
red-thread-tea,Красная нить,table,2,1,1330,1330,Мокоши,Чайная пара Мокоши,tea_pair,required,2,per_guest,false,4590,https://kultura-doma.ru/product/chaynaya-para-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/694151510f837_big.jpg,Главный орнаментальный герой; не заменять кофейной парой по умолчанию
red-thread-tea,Красная нить,table,2,2,1562,1562,Камея,Тарелка десертная Камея,dessert_plate,default,2,per_guest,false,1673,https://kultura-doma.ru/product/tarelka-desertnaya-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3a73285a37b_big.jpg,Нейтральная белая база не спорит с красной графикой
red-thread-tea,Красная нить,table,2,3,1352,1352,Мокоши,Салфетка Мокоши,napkin,default,2,per_guest,false,1990,https://kultura-doma.ru/product/salfetka-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194d979a2_big.jpg,Поддерживает главный орнамент
red-thread-tea,Красная нить,table,2,4,1369,1369,Мокоши,Дорожка с кисточками Мокоши,table_runner,default,1,fixed,false,14900,https://kultura-doma.ru/product/dorozhka-mokoshi,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218c75fc49_big.jpg,Текстильная ось композиции
red-thread-tea,Красная нить,table,2,5,1561,1561,Камея,Сахарница Камея,sugar_bowl,optional,1,fixed,false,2513,https://kultura-doma.ru/product/saharnica-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394af59a5dc_big.jpg,Функциональное дополнение
red-thread-tea,Красная нить,table,2,6,1554,1554,Камея,Молочник Камея,milk_jug,optional,1,fixed,false,1673,https://kultura-doma.ru/product/molochnik-kameya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394aeea5edf_big.jpg,Функциональное дополнение
quiet-obereg,Тихий оберег,table,2,1,1540,1540,Овация,Чайная пара Овация,tea_pair,required,2,per_guest,false,1194,https://kultura-doma.ru/product/chaynaya-para-ovaciya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394afacf9ef_big.jpg,Фактурный белый фарфор поддерживает деликатный текстиль
quiet-obereg,Тихий оберег,table,2,2,1351,1351,Обереги,Салфетка Обереги,napkin,default,2,per_guest,false,1990,https://kultura-doma.ru/product/salfetka-oberegi,https://kultura-doma.ru/public/src/images/gallery/catalog/6a4285ec3ef3f_big.jpg,Мягкий бело-синий акцент
quiet-obereg,Тихий оберег,table,2,3,1353,1353,Обереги,Плейсмат Обереги,placemat,default,2,per_guest,false,2590,https://kultura-doma.ru/product/pleysmat-oberegi,https://kultura-doma.ru/public/src/images/gallery/catalog/6a575b0f807d4_big.jpg,Посадочное место
quiet-obereg,Тихий оберег,table,2,4,1543,1543,Овация,Молочник Овация,milk_jug,optional,1,fixed,false,894,https://kultura-doma.ru/product/molochnik-ovaciya,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394afd5391f_big.jpg,Низкопороговый функциональный upsell
quiet-obereg,Тихий оберег,table,2,5,1422,1422,Обереги,Скатерть с вышивкой Обереги,tablecloth,optional,1,fixed,false,22900,https://kultura-doma.ru/product/skatert-s-vyshivkoy-oberegi-pryamougol-naya,https://kultura-doma.ru/public/src/images/gallery/catalog/697b7b278ca62_big.jpg,Премиальное расширение набора
sky-celebration,Небесный праздник,table,2,1,1512,1512,Дияф,Чайная пара Дияф,tea_pair,required,2,per_guest,false,2394,https://kultura-doma.ru/product/chaynaya-para-diyaf,https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/698dee8e5df80_big__f5d5701899.jpg,Главный голубой и золотой акцент
sky-celebration,Небесный праздник,table,2,2,1521,1521,Дияф,Дорожка Дияф,table_runner,default,1,fixed,false,2694,https://kultura-doma.ru/product/dorozhka-diyaf,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218d992ea2_big.jpg,Праздничная текстильная основа
sky-celebration,Небесный праздник,table,2,3,1519,1519,Дияф,Салфетка Дияф,napkin,default,2,per_guest,false,1194,https://kultura-doma.ru/product/salfetka-diyaf,https://kultura-doma.ru/public/src/images/gallery/catalog/6a428351b8c77_big.jpg,Поддерживает фарфор без второго паттерна
sky-celebration,Небесный праздник,table,2,4,1532,1532,Овация,Тарелка десертная Овация,dessert_plate,default,2,per_guest,false,894,https://kultura-doma.ru/product/tarelka-desertnaya-ovaciya,https://kultura-doma.ru/public/src/images/gallery/catalog/69a59fe31bc63_big.jpg,Фактурная белая база
sky-celebration,Небесный праздник,table,2,5,1511,1511,Дияф,Чайник заварочный Дияф,teapot,optional,1,fixed,false,2994,https://kultura-doma.ru/product/chaynik-zavarochnyy-diyaf,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394b019545c_big.jpg,Собирает чайный ритуал
sky-celebration,Небесный праздник,table,2,6,1516,1516,Дияф,Сахарница Дияф,sugar_bowl,optional,1,fixed,false,2094,https://kultura-doma.ru/product/saharnica-diyaf,https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/698ded3fbd8f9_big__3230560b72.jpg,Собирает чайный ритуал
green-salon,Зелёный салон,table,2,1,340,340,Петербург,Чайная пара Петербург,tea_pair,required,2,per_guest,false,4995,https://kultura-doma.ru/product/chaynaya-para-peterburg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394ba34f611_big.jpg,Зелёный городской герой сервировки
green-salon,Зелёный салон,table,2,2,529,529,Петербург,Дорожка Петербург,table_runner,default,1,fixed,false,2500,https://kultura-doma.ru/product/dorozhka-peterburg,https://kultura-doma.ru/public/src/images/gallery/catalog/69f218cb89b24_big.jpg,Графическая ось стола
green-salon,Зелёный салон,table,2,3,572,572,Петербург,Салфетки Петербург,napkin,default,2,per_guest,false,650,https://kultura-doma.ru/product/dorozhka-peterburg-572,https://kultura-doma.ru/public/src/images/gallery/catalog/69f2194fe62aa_big.jpg,Поддерживает зелёный ритм
green-salon,Зелёный салон,table,2,4,1532,1532,Овация,Тарелка десертная Овация,dessert_plate,default,2,per_guest,false,894,https://kultura-doma.ru/product/tarelka-desertnaya-ovaciya,https://kultura-doma.ru/public/src/images/gallery/catalog/69a59fe31bc63_big.jpg,Белая фактурная база
green-salon,Зелёный салон,table,2,5,269,269,Петербург,Сливочник Петербург,milk_jug,optional,1,fixed,false,6450,https://kultura-doma.ru/product/slivochnik-peterburg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a632cffe8804_big.jpg,Функциональное дополнение
green-salon,Зелёный салон,table,2,6,337,337,Петербург,Чайник Петербург,teapot,optional,1,fixed,false,9950,https://kultura-doma.ru/product/chaynik-peterburg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a394f8eb12f9_big.jpg,Премиальное расширение
blue-hour-bedroom,Голубой час,bedroom,1,1,1684,1684,Обереги,Комплект постельного белья Обереги,bedding_set,required,1,variant_selection_required,true,20900,https://kultura-doma.ru/product/komplekt-postel-nogo-bel-ya-oberegi,https://kultura-doma.ru/public/src/images/gallery/catalog/6a34f7959c901_big.jpg,Основа; размер пользователь выбирает до добавления
blue-hour-bedroom,Голубой час,bedroom,1,2,1272,1272,Нити времени,Подушка декоративная Нити времени,decorative_pillow,default,1,fixed,false,2745,https://kultura-doma.ru/product/podushka-dekorativnaya-niti-vremeni,https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/69e5d18433139_big__83f18d3de5.jpg,Голубой декоративный акцент
blue-hour-bedroom,Голубой час,bedroom,1,3,1295,1295,Оренбургские узоры,Подушка декоративная Пушица,decorative_pillow,default,1,fixed,false,9900,https://kultura-doma.ru/product/podushka-dekorativnaya-pushica-1295,https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/6a5f322580c1f_big__057264d6b7.jpg,Ажурная голубая текстура
blue-hour-bedroom,Голубой час,bedroom,1,4,1291,1291,Оренбургские узоры,Плед Пушица,throw,optional,1,fixed,false,29900,https://kultura-doma.ru/product/pled-pushica-1291,https://kultura-doma.ru/public/src/images/gallery/catalog/assets/images/690ca7e8a1da2_big__478b4f104c.jpg,Премиальный текстильный слой
blue-hour-bedroom,Голубой час,bedroom,1,5,1501,1501,Нити времени,Свеча с ароматом Копченая клюква Нити Времени,candle,optional,1,fixed,false,4990,https://kultura-doma.ru/product/aromasvecha-niti-vremeni-v-farforovom-podsvechnike-kopchenaya-klyukva-1501,https://kultura-doma.ru/public/src/images/gallery/catalog/6a5f7f938779f_big.jpg,Атмосферное дополнение
